County,Pop
Fairfield," 957,050 "
Hartford," 898,682 "
Litchfield," 184,938 "
Middlesex," 164,063 "
New Haven," 864,094 "
New London," 268,450 "
Tolland," 149,767 "
Windham," 116,404 "
