Town,Pop
Andover,"3,149"
Ansonia,"18,902"
Ashford,"4,185"
Avon,"18,918"
Barkhamsted,"3,650"
Beacon Falls,"5,993"
Berlin,"20,154"
Bethany,"5,294"
Bethel,"20,331"
Bethlehem,"3,380"
Bloomfield,"21,460"
Bolton,"4,868"
Bozrah,"2,422"
Branford,"28,220"
Bridgeport,"148,698"
Bridgewater,"1,659"
Bristol,"60,786"
Brookfield,"17,517"
Brooklyn,"8,451"
Burlington,"9,520"
Canaan,"1,081"
Canterbury,"5,041"
Canton,"10,125"
Chaplin,"2,141"
Cheshire,"28,728"
Chester,"3,744"
Clinton,"13,174"
Colchester,"15,548"
Colebrook,"1,360"
Columbia,"5,263"
Cornwall,"1,566"
Coventry,"12,238"
Cromwell,"14,203"
Danbury,"86,570"
Darien,"21,527"
Deep River,"4,412"
Derby,"12,326"
Durham,"7,151"
Eastford,"1,650"
East Granby,"5,218"
East Haddam,"8,872"
East Hampton,"12,709"
East Hartford,"51,016"
East Haven,"27,874"
East Lyme,"18,645"
Easton,"7,603"
East Windsor,"11,167"
Ellington,"16,428"
Enfield,"42,128"
Essex,"6,713"
Fairfield,"61,472"
Farmington,"26,673"
Franklin,"1,863"
Glastonbury,"35,108"
Goshen,"3,148"
Granby,"10,891"
Greenwich,"63,502"
Griswold,"11,411"
Groton,"38,445"
Guilford,"22,045"
Haddam,"8,449"
Hamden,"61,065"
Hampton,"1,729"
Hartford,"121,026"
Hartland,"1,900"
Harwinton,"5,470"
Hebron,"9,102"
Kent,"3,014"
Killingly,"17,738"
Killingworth,"6,173"
Lebanon,"7,142"
Ledyard,"15,420"
Lisbon,"4,191"
Litchfield,"8,165"
Lyme,"2,352"
Madison,"17,658"
Manchester,"59,693"
Mansfield,"25,883"
Marlborough,"6,127"
Meriden,"60,794"
Middlebury,"7,577"
Middlefield,"4,217"
Middletown,"47,676"
Milford,"51,954"
Monroe,"18,808"
Montville,"18,377"
Morris,"2,250"
Naugatuck,"31,517"
New Britain,"74,125"
New Canaan,"20,605"
New Fairfield,"13,570"
New Hartford,"6,652"
New Haven,"134,052"
Newington,"30,464"
New London,"27,376"
New Milford,"28,106"
Newtown,"27,154"
Norfolk,"1,585"
North Branford,"13,535"
North Canaan,"3,198"
North Haven,"24,237"
North Stonington,"5,152"
Norwalk,"91,194"
Norwich,"40,152"
Old Lyme,"7,615"
Old Saybrook,"10,442"
Orange,"14,255"
Oxford,"12,702"
Plainfield,"14,984"
Plainville,"17,516"
Plymouth,"11,668"
Pomfret,"4,270"
Portland,"9,371"
Preston,"4,784"
Prospect,"9,403"
Putnam,"9,219"
Redding,"8,742"
Ridgefield,"25,009"
Rocky Hill,"20,780"
Roxbury,"2,260"
Salem,"4,214"
Salisbury,"4,191"
Scotland,"1,576"
Seymour,"16,707"
Sharon,"2,675"
Shelton,"40,756"
Sherman,"3,521"
Simsbury,"24,516"
Somers,"10,254"
Southbury,"19,786"
Southington,"43,447"
South Windsor,"26,903"
Sprague,"2,973"
Stafford,"11,460"
Stamford,"135,511"
Sterling,"3,581"
Stonington,"18,288"
Stratford,"52,265"
Suffield,"15,725"
Thomaston,"7,426"
Thompson,"9,185"
Tolland,"14,552"
Torrington,"35,422"
Trumbull,"36,742"
Union,784
Vernon,"30,218"
Voluntown,"2,564"
Wallingford,"44,317"
Warren,"1,348"
Washington,"3,644"
Waterbury,"114,426"
Waterford,"19,516"
Watertown,"22,083"
Westbrook,"6,757"
West Hartford,"64,019"
West Haven,"55,536"
Weston,"10,360"
Westport,"27,128"
Wethersfield,"27,272"
Willington,"5,568"
Wilton,"18,465"
Winchester,"10,226"
Windham,"24,426"
Windsor,"29,413"
Windsor Locks,"12,592"
Wolcott,"16,117"
Woodbridge,"9,074"
Woodbury,"9,711"
Woodstock,"8,228"
