County,Pop
Fairfield," 943,823 "
Hartford," 892,697 "
Litchfield," 181,111 "
Middlesex," 162,682 "
New Haven," 857,620 "
New London," 266,784 "
Tolland," 150,921 "
Windham," 117,027 "
