Town,Pop
Andover,"3,133"
Ansonia,"18,815"
Ashford,"4,186"
Avon,"18,848"
Barkhamsted,"3,647"
Beacon Falls,"6,033"
Berlin,"20,113"
Bethany,"5,288"
Bethel,"20,537"
Bethlehem,"3,386"
Bloomfield,"21,480"
Bolton,"4,819"
Bozrah,"2,417"
Branford,"28,176"
Bridgeport,"148,333"
Bridgewater,"1,658"
Bristol,"60,661"
Brookfield,"17,482"
Brooklyn,"8,488"
Burlington,"9,591"
Canaan,"1,078"
Canterbury,"5,060"
Canton,"10,083"
Chaplin,"2,143"
Cheshire,"28,628"
Chester,"3,752"
Clinton,"13,400"
Colchester,"15,501"
Colebrook,"1,357"
Columbia,"5,246"
Cornwall,"1,571"
Coventry,"12,205"
Cromwell,"14,302"
Danbury,"86,759"
Darien,"21,500"
Deep River,"4,462"
Derby,"12,274"
Durham,"7,231"
Eastford,"1,660"
East Granby,"5,180"
East Haddam,"8,965"
East Hampton,"12,874"
East Hartford,"50,731"
East Haven,"27,804"
East Lyme,"18,849"
Easton,"7,594"
East Windsor,"11,161"
Ellington,"16,630"
Enfield,"42,031"
Essex,"6,759"
Fairfield,"61,949"
Farmington,"26,645"
Franklin,"1,862"
Glastonbury,"35,054"
Goshen,"3,165"
Granby,"10,953"
Greenwich,"63,514"
Griswold,"11,407"
Groton,"38,456"
Guilford,"22,031"
Haddam,"8,529"
Hamden,"60,923"
Hampton,"1,728"
Hartford,"120,576"
Hartland,"1,891"
Harwinton,"5,508"
Hebron,"9,066"
Kent,"2,984"
Killingly,"17,742"
Killingworth,"6,268"
Lebanon,"7,108"
Ledyard,"15,336"
Lisbon,"4,198"
Litchfield,"8,170"
Lyme,"2,344"
Madison,"17,619"
Manchester,"59,426"
Mansfield,"26,357"
Marlborough,"6,093"
Meriden,"60,517"
Middlebury,"7,684"
Middlefield,"4,274"
Middletown,"47,108"
Milford,"52,390"
Monroe,"18,764"
Montville,"18,478"
Morris,"2,259"
Naugatuck,"31,433"
New Britain,"73,841"
New Canaan,"20,732"
New Fairfield,"13,545"
New Hartford,"6,668"
New Haven,"135,081"
Newington,"30,365"
New London,"27,635"
New Milford,"28,182"
Newtown,"27,522"
Norfolk,"1,587"
North Branford,"13,498"
North Canaan,"3,185"
North Haven,"24,169"
North Stonington,"5,137"
Norwalk,"91,194"
Norwich,"40,014"
Old Lyme,"7,577"
Old Saybrook,"10,563"
Orange,"14,246"
Oxford,"12,768"
Plainfield,"14,959"
Plainville,"17,445"
Plymouth,"11,659"
Pomfret,"4,271"
Portland,"9,462"
Preston,"4,802"
Prospect,"9,344"
Putnam,"9,227"
Redding,"8,735"
Ridgefield,"25,011"
Rocky Hill,"20,746"
Roxbury,"2,269"
Salem,"4,200"
Salisbury,"4,112"
Scotland,"1,568"
Seymour,"16,679"
Sharon,"2,675"
Shelton,"41,474"
Sherman,"3,521"
Simsbury,"24,807"
Somers,"10,279"
Southbury,"19,796"
Southington,"43,500"
South Windsor,"26,767"
Sprague,"2,950"
Stafford,"11,412"
Stamford,"136,309"
Sterling,"3,577"
Stonington,"18,427"
Stratford,"52,268"
Suffield,"15,862"
Thomaston,"7,453"
Thompson,"9,226"
Tolland,"14,511"
Torrington,"35,357"
Trumbull,"36,950"
Union,781
Vernon,"30,326"
Voluntown,"2,554"
Wallingford,"44,194"
Warren,"1,349"
Washington,"3,633"
Waterbury,"113,811"
Waterford,"19,553"
Watertown,"22,110"
Westbrook,"6,810"
West Hartford,"63,973"
West Haven,"55,294"
Weston,"10,336"
Westport,"27,279"
Wethersfield,"27,124"
Willington,"5,528"
Wilton,"18,460"
Winchester,"10,217"
Windham,"24,362"
Windsor,"29,376"
Windsor Locks,"12,531"
Wolcott,"16,160"
Woodbridge,"9,045"
Woodbury,"9,761"
Woodstock,"8,221"
