County,Pop
Fairfield," 959,768 "
Hartford," 896,854 "
Litchfield," 185,000 "
Middlesex," 164,759 "
New Haven," 863,700 "
New London," 268,805 "
Tolland," 150,293 "
Windham," 116,418 "
