"","ï..Town","Pop"
"1","Andover",3149
"2","Ansonia",18902
"3","Ashford",4185
"4","Avon",18918
"5","Barkhamsted",3650
"6","Beacon Falls",5993
"7","Berlin",20154
"8","Bethany",5294
"9","Bethel",20331
"10","Bethlehem",3380
"11","Bloomfield",21460
"12","Bolton",4868
"13","Bozrah",2422
"14","Branford",28220
"15","Bridgeport",148698
"16","Bridgewater",1659
"17","Bristol",60786
"18","Brookfield",17517
"19","Brooklyn",8451
"20","Burlington",9520
"21","Canaan",1081
"22","Canterbury",5041
"23","Canton",10125
"24","Chaplin",2141
"25","Cheshire",28728
"26","Chester",3744
"27","Clinton",13174
"28","Colchester",15548
"29","Colebrook",1360
"30","Columbia",5263
"31","Cornwall",1566
"32","Coventry",12238
"33","Cromwell",14203
"34","Danbury",86570
"35","Darien",21527
"36","Deep River",4412
"37","Derby",12326
"38","Durham",7151
"39","Eastford",1650
"40","East Granby",5218
"41","East Haddam",8872
"42","East Hampton",12709
"43","East Hartford",51016
"44","East Haven",27874
"45","East Lyme",18645
"46","Easton",7603
"47","East Windsor",11167
"48","Ellington",16428
"49","Enfield",42128
"50","Essex",6713
"51","Fairfield",61472
"52","Farmington",26673
"53","Franklin",1863
"54","Glastonbury",35108
"55","Goshen",3148
"56","Granby",10891
"57","Greenwich",63502
"58","Griswold",11411
"59","Groton",38445
"60","Guilford",22045
"61","Haddam",8449
"62","Hamden",61065
"63","Hampton",1729
"64","Hartford",121026
"65","Hartland",1900
"66","Harwinton",5470
"67","Hebron",9102
"68","Kent",3014
"69","Killingly",17738
"70","Killingworth",6173
"71","Lebanon",7142
"72","Ledyard",15420
"73","Lisbon",4191
"74","Litchfield",8165
"75","Lyme",2352
"76","Madison",17658
"77","Manchester",59693
"78","Mansfield",25883
"79","Marlborough",6127
"80","Meriden",60794
"81","Middlebury",7577
"82","Middlefield",4217
"83","Middletown",47676
"84","Milford",51954
"85","Monroe",18808
"86","Montville",18377
"87","Morris",2250
"88","Naugatuck",31517
"89","New Britain",74125
"90","New Canaan",20605
"91","New Fairfield",13570
"92","New Hartford",6652
"93","New Haven",134052
"94","Newington",30464
"95","New London",27376
"96","New Milford",28106
"97","Newtown",27154
"98","Norfolk",1585
"99","North Branford",13535
"100","North Canaan",3198
"101","North Haven",24237
"102","North Stonington",5152
"103","Norwalk",91194
"104","Norwich",40152
"105","Old Lyme",7615
"106","Old Saybrook",10442
"107","Orange",14255
"108","Oxford",12702
"109","Plainfield",14984
"110","Plainville",17516
"111","Plymouth",11668
"112","Pomfret",4270
"113","Portland",9371
"114","Preston",4784
"115","Prospect",9403
"116","Putnam",9219
"117","Redding",8742
"118","Ridgefield",25009
"119","Rocky Hill",20780
"120","Roxbury",2260
"121","Salem",4214
"122","Salisbury",4191
"123","Scotland",1576
"124","Seymour",16707
"125","Sharon",2675
"126","Shelton",40756
"127","Sherman",3521
"128","Simsbury",24516
"129","Somers",10254
"130","Southbury",19786
"131","Southington",43447
"132","South Windsor",26903
"133","Sprague",2973
"134","Stafford",11460
"135","Stamford",135511
"136","Sterling",3581
"137","Stonington",18288
"138","Stratford",52265
"139","Suffield",15725
"140","Thomaston",7426
"141","Thompson",9185
"142","Tolland",14552
"143","Torrington",35422
"144","Trumbull",36742
"145","Union",784
"146","Vernon",30218
"147","Voluntown",2564
"148","Wallingford",44317
"149","Warren",1348
"150","Washington",3644
"151","Waterbury",114426
"152","Waterford",19516
"153","Watertown",22083
"154","Westbrook",6757
"155","West Hartford",64019
"156","West Haven",55536
"157","Weston",10360
"158","Westport",27128
"159","Wethersfield",27272
"160","Willington",5568
"161","Wilton",18465
"162","Winchester",10226
"163","Windham",24426
"164","Windsor",29413
"165","Windsor Locks",12592
"166","Wolcott",16117
"167","Woodbridge",9074
"168","Woodbury",9711
"169","Woodstock",8228
