"","ï..Town","Pop"
"1","Andover",3231
"2","Ansonia",18721
"3","Ashford",4261
"4","Avon",18302
"5","Barkhamsted",3624
"6","Beacon Falls",6182
"7","Berlin",20432
"8","Bethany",5479
"9","Bethel",19714
"10","Bethlehem",3422
"11","Bloomfield",21301
"12","Bolton",4890
"13","Bozrah",2537
"14","Branford",28005
"15","Bridgeport",144900
"16","Bridgewater",1641
"17","Bristol",60032
"18","Brookfield",17002
"19","Brooklyn",8280
"20","Burlington",9665
"21","Canaan",1055
"22","Canterbury",5100
"23","Canton",10270
"24","Chaplin",2256
"25","Cheshire",29179
"26","Chester",4229
"27","Clinton",12950
"28","Colchester",15936
"29","Colebrook",1405
"30","Columbia",5385
"31","Cornwall",1368
"32","Coventry",12414
"33","Cromwell",13905
"34","Danbury",84730
"35","Darien",21753
"36","Deep River",4463
"37","Derby",12515
"38","Durham",7195
"39","Eastford",1790
"40","East Granby",5147
"41","East Haddam",8988
"42","East Hampton",12854
"43","East Hartford",49998
"44","East Haven",28699
"45","East Lyme",18645
"46","Easton",7517
"47","East Windsor",11375
"48","Ellington",16299
"49","Enfield",44466
"50","Essex",6674
"51","Fairfield",61952
"52","Farmington",25506
"53","Franklin",1933
"54","Glastonbury",34491
"55","Goshen",2879
"56","Granby",11375
"57","Greenwich",62727
"58","Griswold",11591
"59","Groton",38692
"60","Guilford",22216
"61","Haddam",8222
"62","Hamden",60940
"63","Hampton",1853
"64","Hartford",122587
"65","Hartland",2120
"66","Harwinton",5430
"67","Hebron",9482
"68","Kent",2785
"69","Killingly",17287
"70","Killingworth",6370
"71","Lebanon",7207
"72","Ledyard",14736
"73","Lisbon",4248
"74","Litchfield",8127
"75","Lyme",2338
"76","Madison",18106
"77","Manchester",57699
"78","Mansfield",25817
"79","Marlborough",6358
"80","Meriden",59540
"81","Middlebury",7731
"82","Middlefield",4380
"83","Middletown",46146
"84","Milford",54661
"85","Monroe",19470
"86","Montville",18716
"87","Morris",2262
"88","Naugatuck",31288
"89","New Britain",72453
"90","New Canaan",20213
"91","New Fairfield",13877
"92","New Hartford",6685
"93","New Haven",130418
"94","Newington",30112
"95","New London",26939
"96","New Milford",26974
"97","Newtown",27774
"98","Norfolk",1640
"99","North Branford",14158
"100","North Canaan",3254
"101","North Haven",23691
"102","North Stonington",5243
"103","Norwalk",89047
"104","Norwich",39136
"105","Old Lyme",7366
"106","Old Saybrook",10087
"107","Orange",13949
"108","Oxford",13226
"109","Plainfield",15173
"110","Plainville",17623
"111","Plymouth",11645
"112","Pomfret",4204
"113","Portland",9305
"114","Preston",4638
"115","Prospect",9790
"116","Putnam",9395
"117","Redding",9125
"118","Ridgefield",25008
"119","Rocky Hill",20145
"120","Roxbury",2160
"121","Salem",4123
"122","Salisbury",3598
"123","Scotland",1685
"124","Seymour",16509
"125","Sharon",2703
"126","Shelton",41097
"127","Sherman",3614
"128","Simsbury",24979
"129","Somers",10834
"130","Southbury",19656
"131","Southington",43807
"132","South Windsor",26054
"133","Sprague",2889
"134","Stafford",11884
"135","Stamford",129775
"136","Sterling",3780
"137","Stonington",18449
"138","Stratford",51967
"139","Suffield",15743
"140","Thomaston",7560
"141","Thompson",9395
"142","Tolland",14655
"143","Torrington",34228
"144","Trumbull",35802
"145","Union",840
"146","Vernon",29303
"147","Voluntown",2535
"148","Wallingford",44535
"149","Warren",1399
"150","Washington",3434
"151","Waterbury",108093
"152","Waterford",18887
"153","Watertown",21641
"154","Westbrook",6914
"155","West Hartford",62939
"156","West Haven",54879
"157","Weston",10247
"158","Westport",28115
"159","Wethersfield",26082
"160","Willington",5887
"161","Wilton",18397
"162","Winchester",10655
"163","Windham",24706
"164","Windsor",28760
"165","Windsor Locks",12876
"166","Wolcott",16649
"167","Woodbridge",8805
"168","Woodbury",9537
"169","Woodstock",7862
