"","ï..Town","Pop"
"1","Andover",3133
"2","Ansonia",18815
"3","Ashford",4186
"4","Avon",18848
"5","Barkhamsted",3647
"6","Beacon Falls",6033
"7","Berlin",20113
"8","Bethany",5288
"9","Bethel",20537
"10","Bethlehem",3386
"11","Bloomfield",21480
"12","Bolton",4819
"13","Bozrah",2417
"14","Branford",28176
"15","Bridgeport",148333
"16","Bridgewater",1658
"17","Bristol",60661
"18","Brookfield",17482
"19","Brooklyn",8488
"20","Burlington",9591
"21","Canaan",1078
"22","Canterbury",5060
"23","Canton",10083
"24","Chaplin",2143
"25","Cheshire",28628
"26","Chester",3752
"27","Clinton",13400
"28","Colchester",15501
"29","Colebrook",1357
"30","Columbia",5246
"31","Cornwall",1571
"32","Coventry",12205
"33","Cromwell",14302
"34","Danbury",86759
"35","Darien",21500
"36","Deep River",4462
"37","Derby",12274
"38","Durham",7231
"39","Eastford",1660
"40","East Granby",5180
"41","East Haddam",8965
"42","East Hampton",12874
"43","East Hartford",50731
"44","East Haven",27804
"45","East Lyme",18849
"46","Easton",7594
"47","East Windsor",11161
"48","Ellington",16630
"49","Enfield",42031
"50","Essex",6759
"51","Fairfield",61949
"52","Farmington",26645
"53","Franklin",1862
"54","Glastonbury",35054
"55","Goshen",3165
"56","Granby",10953
"57","Greenwich",63514
"58","Griswold",11407
"59","Groton",38456
"60","Guilford",22031
"61","Haddam",8529
"62","Hamden",60923
"63","Hampton",1728
"64","Hartford",120576
"65","Hartland",1891
"66","Harwinton",5508
"67","Hebron",9066
"68","Kent",2984
"69","Killingly",17742
"70","Killingworth",6268
"71","Lebanon",7108
"72","Ledyard",15336
"73","Lisbon",4198
"74","Litchfield",8170
"75","Lyme",2344
"76","Madison",17619
"77","Manchester",59426
"78","Mansfield",26357
"79","Marlborough",6093
"80","Meriden",60517
"81","Middlebury",7684
"82","Middlefield",4274
"83","Middletown",47108
"84","Milford",52390
"85","Monroe",18764
"86","Montville",18478
"87","Morris",2259
"88","Naugatuck",31433
"89","New Britain",73841
"90","New Canaan",20732
"91","New Fairfield",13545
"92","New Hartford",6668
"93","New Haven",135081
"94","Newington",30365
"95","New London",27635
"96","New Milford",28182
"97","Newtown",27522
"98","Norfolk",1587
"99","North Branford",13498
"100","North Canaan",3185
"101","North Haven",24169
"102","North Stonington",5137
"103","Norwalk",91194
"104","Norwich",40014
"105","Old Lyme",7577
"106","Old Saybrook",10563
"107","Orange",14246
"108","Oxford",12768
"109","Plainfield",14959
"110","Plainville",17445
"111","Plymouth",11659
"112","Pomfret",4271
"113","Portland",9462
"114","Preston",4802
"115","Prospect",9344
"116","Putnam",9227
"117","Redding",8735
"118","Ridgefield",25011
"119","Rocky Hill",20746
"120","Roxbury",2269
"121","Salem",4200
"122","Salisbury",4112
"123","Scotland",1568
"124","Seymour",16679
"125","Sharon",2675
"126","Shelton",41474
"127","Sherman",3521
"128","Simsbury",24807
"129","Somers",10279
"130","Southbury",19796
"131","Southington",43500
"132","South Windsor",26767
"133","Sprague",2950
"134","Stafford",11412
"135","Stamford",136309
"136","Sterling",3577
"137","Stonington",18427
"138","Stratford",52268
"139","Suffield",15862
"140","Thomaston",7453
"141","Thompson",9226
"142","Tolland",14511
"143","Torrington",35357
"144","Trumbull",36950
"145","Union",781
"146","Vernon",30326
"147","Voluntown",2554
"148","Wallingford",44194
"149","Warren",1349
"150","Washington",3633
"151","Waterbury",113811
"152","Waterford",19553
"153","Watertown",22110
"154","Westbrook",6810
"155","West Hartford",63973
"156","West Haven",55294
"157","Weston",10336
"158","Westport",27279
"159","Wethersfield",27124
"160","Willington",5528
"161","Wilton",18460
"162","Winchester",10217
"163","Windham",24362
"164","Windsor",29376
"165","Windsor Locks",12531
"166","Wolcott",16160
"167","Woodbridge",9045
"168","Woodbury",9761
"169","Woodstock",8221
