"","ï..County","Pop"
"1","Fairfield",957050
"2","Hartford",898682
"3","Litchfield",184938
"4","Middlesex",164063
"5","New Haven",864094
"6","New London",268450
"7","Tolland",149767
"8","Windham",116404
