"","ï..County","Pop"
"1","Fairfield",962946
"2","Hartford",898783
"3","New Haven",869527
"4","Middlesex",166537
"5","New London",249078
"6","Windham",117210
"7","Litchfield",176314
"8","Tolland",156405
