"","ï..County","Pop"
"1","Fairfield",959768
"2","Hartford",896854
"3","Litchfield",185000
"4","Middlesex",164759
"5","New Haven",863700
"6","New London",268805
"7","Tolland",150293
"8","Windham",116418
