"","ï..County","Pop"
"1","Fairfield",943332
"2","Hartford",891720
"3","Litchfield",180333
"4","Middlesex",162436
"5","New Haven",854757
"6","New London",265206
"7","Tolland",150721
"8","Windham",116782
